Station,City,Name,Date,Wind_Avg,Rain,Snowfall,Snow_Depth,Temp_Avg
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/25/2016,10.29,2.47,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/26/2016,11.41,0,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/27/2016,7.38,0,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/28/2016,8.05,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/29/2016,10.07,0.65,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/30/2016,7.61,0.18,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/31/2016,10.51,0.45,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/1/2016,8.95,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/2/2016,8.5,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/3/2016,7.83,0,0,0,72
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/4/2016,6.71,0,0,0,72
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/5/2016,11.41,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/6/2016,10.51,0.18,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/7/2016,10.29,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/8/2016,6.93,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/9/2016,8.5,0,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/10/2016,13.42,0.05,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/11/2016,8.95,0.06,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/12/2016,12.08,0.01,0,0,83
