Station,City,Name,Date,Wind_Avg,Rain,Snowfall,Snow_Depth,Temp_Avg
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/4/2016,16.78,0,0,0,58
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/5/2016,6.26,0,0,0,59
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/6/2016,2.91,0,0,0,68
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/7/2016,8.28,0,0,0,69
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/8/2016,7.61,0.31,0,0,62
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/9/2016,6.49,0.2,0,0,60
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/10/2016,8.72,0.09,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/11/2016,6.71,0,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/12/2016,17.9,0,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/13/2016,14.54,0,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/14/2016,19.01,0.03,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/15/2016,13.42,0,0,0,56
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/16/2016,6.93,0,0,0,62
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/17/2016,5.14,0,0,0,65
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/18/2016,7.38,0,0,0,67
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/19/2016,7.61,0,0,0,66
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/20/2016,6.71,0,0,0,63
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/21/2016,10.74,0,0,0,64
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/22/2016,15.88,0.15,0,0,61
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/23/2016,14.99,0,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/24/2016,24.83,0,0,0,58
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/25/2016,19.91,0,0,0,55
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/26/2016,16.55,0,0,0,54
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/27/2016,19.24,0.04,0,0,54
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/28/2016,18.12,0,0,0,53
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/29/2016,19.46,0,0,0,54
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/30/2016,15.66,0,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/1/2016,5.59,0,0,0,65
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/2/2016,11.18,0,0,0,60
